Scenario;b24000;maxQ_14199_maxV_28.8_year_3345;maxQ_14210_maxV_18.1_year_2288;maxQ_14256_maxV_11.5_year_3236;maxQ_14434_maxV_14.1_year_3126;maxQ_14450_maxV_23.4_year_3048;maxQ_14567_maxV_18.9_year_7445;maxQ_14594_maxV_23.3_year_9987;maxQ_14756_maxV_14.5_year_7191;maxQ_14808_maxV_23.1_year_9093;maxQ_14848_maxV_23.6_year_7451;maxQ_14995_maxV_16.0_year_9555;maxQ_15047_maxV_19.1_year_3884;maxQ_15162_maxV_16.9_year_2826;maxQ_15199_maxV_28.2_year_5313;maxQ_15333_maxV_27.9_year_3710;maxQ_15408_maxV_22.6_year_9875;maxQ_15494_maxV_26.5_year_8336;maxQ_15579_maxV_18.8_year_2831;maxQ_15690_maxV_25.2_year_2944;maxQ_15769_maxV_17.6_year_2168;maxQ_15936_maxV_18.6_year_8232;maxQ_16210_maxV_23.0_year_3284;maxQ_16252_maxV_16.7_year_3423;maxQ_16499_maxV_22.5_year_6390;maxQ_16537_maxV_25.4_year_8516;maxQ_16656_maxV_16.8_year_6253;maxQ_16675_maxV_27.6_year_7706;maxQ_16808_maxV_19.1_year_9324;maxQ_16872_maxV_27.6_year_4891;maxQ_16957_maxV_18.7_year_3236;maxQ_17066_maxV_34.8_year_7593;maxQ_17075_maxV_21.0_year_9681;maxQ_17176_maxV_38.4_year_2560;maxQ_17271_maxV_22.3_year_8813;maxQ_17332_maxV_27.1_year_8632;maxQ_17415_maxV_16.6_year_6576;maxQ_17456_maxV_24.8_year_3843;maxQ_17523_maxV_21.0_year_5296;maxQ_17576_maxV_26.9_year_6510;maxQ_18567_maxV_30.2_year_3147;maxQ_18802_maxV_21.1_year_8276;maxQ_18861_maxV_25.7_year_9470;maxQ_19050_maxV_26.9_year_3672;maxQ_20495_maxV_21.6_year_7971;maxQ_21124_maxV_26.2_year_9605;s14000;s16000;s18000;s20000;s30000
Sum32;15237.38574;14318.26172;14431.67285;12443.06836;13408.625;13666.32031;13633.07324;14357.76855;13268.26953;14009.13965;14025.82227;14168.80273;14141.56641;13326.03711;14395.45898;14412.24316;14425.0459;14385.2793;14653.28711;14789.79883;14210.3291;14013.13379;14718.79199;14301.51855;14709.69727;14562.40137;14237.25977;15020.39746;14675.33203;14458.11621;14555.2334;15020.02344;14496.01172;15006.30273;14343.89648;14998.36914;14515.82227;14688.20605;14594.82324;14656.00488;14983.40625;15003.97363;15010.7666;14997.42188;14824.19336;14814.80078;12970.08789;13935.91895;14821.22559;14987.80859;15591.84473
Sum33;18010.20508;15361.1709;16084.44238;13854.63867;14957.37695;14665.00586;14925.29492;15610.5293;14655.69824;14964.84961;15217.85352;15811.74805;15840.33008;14620.14648;15728.9375;15821.7002;15735.71191;15709.40332;16347.44824;16416.42188;15560.6416;15270.29883;16362.92383;15855.52344;16293.62695;16026.35059;15803.30566;16696.53516;16490.89648;15874.47852;16313.4248;17048.69922;16155.3418;16538.88477;15955.70117;17136.60352;16243.79395;16386.21094;16204.22168;16610.35742;17316.13086;17178.69727;17399.625;17176.30078;16943.00781;16982.38086;14477.9043;15358.01563;16931.00195;17385.08398;18171.61133
Sum34;16465.72656;13942.06934;14297.50391;12565.5127;13312.31445;13323.85059;13358.11426;14141.68555;13081.06738;13749.99805;13805.17188;14071.0293;14032.94824;13100.67676;14327.60059;14361.32422;14285.65723;14239.88965;14571.74023;14677.44043;14147.53223;13913.81738;14542.45996;14186.88477;14567.08008;14359.57715;14150.74609;15560.44434;14557.21289;14530.37207;14362.89746;16021.35254;14272.03711;15101.91602;14179.38574;14962.4707;14351.13574;14491.03027;14375.55664;14527.93262;16110.12891;15443.25195;15945.69922;15810.74707;14648.64258;14620.38086;13043.28418;13871.4541;14661.6084;16094.82129;16633.33008
Sum35;16911.26758;14237.17676;14658.16309;12812.71875;13557.81934;13641.5625;13685.87793;14441.19336;13388.78809;14019.73438;13929.33887;14410.04102;14337.76172;13394.00879;14781.24121;14808.49609;14676.93066;14675.67871;15013.2627;15129.11719;14555.64551;14304.29688;15014.66797;14612.2002;14999.36719;14828.92773;14576.0791;15292.89258;15003.28223;14703.00977;14844.16602;16321.10938;14778.08691;15114.59473;14617.8877;15366.07031;14812.91309;14988.17383;14861.08301;14966.11816;16453.16016;15264.04883;15805.31543;15583.2207;15121.24219;15099.88086;13284.50391;14133.27637;15142.36426;16553.31445;17051.83984
Sum36;17490.2793;15286.12402;15835.75684;13632.87793;14685.99707;14509.25391;14895.54883;15510.90723;14568.61621;14850.03613;15068.83398;15541.60254;15636.99609;14595.99707;15604.80078;15636.96094;15551.51563;15585.66211;16145.64355;16202.19043;15383.39453;15122.90723;16279.55957;15650.0293;16162.74707;15926.72461;15593.1543;16587.83203;16293.30176;15918.31152;16162.61621;16832.80078;16143.37012;16513.63477;15811.23242;16852.24023;16100.47559;16358.00977;16174.27832;16441.67383;16909.70898;16834.47656;16970.76953;16850.37109;16720.55664;16708.35547;14269.69141;15178.73926;16691.23242;16970.53711;17625.33398
Sum37;16159.5498;14708.25391;14876.23535;12863.13477;13625.65918;13745.25391;13865.40625;14727.79395;13511.83789;14303.06445;14388.52734;14605.51172;14469.76465;13575.20313;15013.97461;14940.91504;14876.38574;14930.77734;15204.75488;15262.52051;14659.95703;14403.85938;15254.24316;14773.67773;15253.90332;15079.72168;14700.94629;15252.7334;15245.88867;14971.82324;15086.67676;15264.9541;15015.24902;15260.20508;14876.92773;15282.61914;15059.5166;15229.27246;15108.17969;15199.99121;15282.26855;15275.05664;15292.4668;15272.99902;15263.50684;15256.34863;13355.57031;14322.34863;15252.19238;15306.04883;16373.64746
Sum38;19307.40234;15562.12109;16661.36719;14031.70215;15571.75781;15190.62988;15653.83301;16324.05273;15439.61914;15393.34766;15654.49512;16503.61914;16532.72266;15397.84082;16258.94922;16420.32422;16391.76172;16184.77051;16874.37109;17117.0957;16242.35059;15991.18066;17043.92578;16493.55078;17006.29883;16661.87891;16518.75977;17309.89258;17317.49805;16374.19336;17125.875;17598.52344;16829.94336;17461.09375;16611.66797;17877.82422;17038.36523;17065.98828;16914.98828;17273.36328;18095.25977;18000.17578;18384.72852;17848.82617;17757.10938;17701.20117;14851.94629;16095.54883;17729.67383;18668.09766;19638.96289
Sum39;17732.87695;15100.04688;15643.85547;13578.43555;14582.19238;14422.75781;14654.49512;15337.85938;14365.35547;14665.71484;14862.95801;15351.25684;15441.75;14351.57422;15389.0918;15436.68457;15364.68555;15272.86816;15865.12988;15919.92188;15185.13086;14885.79785;16066.94922;15349.83008;15878.37402;15632.01172;15356.58301;16315.68164;15947.71094;15714.0918;15923.48926;16552.52539;15895.4502;16264.78418;15630.88184;16635.55273;15843.37109;16126.56348;15936.6709;16217.92676;16724.88281;16597.27539;16800.6582;16626.71875;16396.81836;16403.31836;14116.01074;14955.81055;16418.88672;16776.5293;17782.11914
Sum40;16578.83398;14494.2168;14682.30273;12776.26465;13480.51563;13623.06934;13742.99512;14547.02148;13332.26367;14255.16992;14231.26465;14456.09766;14432.06738;13432.10156;14765.57227;14742.08301;14638.74609;14677.58496;14957.6875;15113.1709;14484.0127;14232.64453;15012.12891;14562.94531;15019.375;14827.4209;14504.98535;15248.27441;15001.28906;14713.12012;14836.34375;16123.79785;14758.28223;15098.00293;14624.28809;15333.0498;14812.08008;14966.51367;14849.1748;14941.61816;16310.90332;15314.02441;15894.2793;15771.10156;15161.45898;15151.20215;13241.70313;14207.25;15102.69727;16316.21777;16683.0918
Sum41;17641.99219;15105.69629;15520.31543;13441.30371;14486.74219;14336.31641;14676.58008;15223.84766;14361.88965;14635.50586;14835.95117;15219.7041;15341.95801;14352.39355;15382.3291;15279.27344;15203.77344;15398.43555;15900.02344;15978.38672;15074.83398;14761.52441;16082.6123;15419.19824;15904.75684;15671.73145;15369.31738;16385.85742;15990.68164;15729.1709;15961.88867;16722.75977;15921.90137;16281.20605;15588.75;16728.86719;15832.85449;16135.25195;15947.65723;16212.88184;16839.00391;16710.36914;16910.44531;16736.28125;16515.99414;16501.03906;14041.11035;14848.02637;16508.13477;16893.77344;17774.60156
Sum42;19056.89844;15519.4668;16319.2207;13975.35547;15389.45605;15071.06152;15385.09375;15890.12891;15143.85742;15162.54297;15470.19824;16055.99805;16138.99219;15065.2832;16007.99023;16088.16504;15954.12695;15878.44141;16589.97852;16682.07422;15819.29199;15552.28125;16581.54297;16074.70605;16526.30469;16209.41895;16043.92871;16756.41016;16761.73047;16023.18262;16519.83594;17014.47461;16317.61133;16705.6875;16150.39648;17254.75586;16462.66016;16518.83398;16378.41992;16643.10352;17720.8457;17491.42383;17909.62891;17453.37891;17062.21094;17244.39648;14800.52246;15636.43457;17048.37305;17933.40625;19321.82227
Sum43;17417.32031;14874.05469;15348.08887;13333.11328;14377.82324;14251.54297;14421.2207;15070.02734;14179.20117;14422.44629;14584.94922;15064.76758;15154.78809;14113.98242;15376.43164;15175.22754;15099.59473;15447.83301;15674.86523;15839.31738;14997.98242;14696.25684;15899.45703;15200.52441;15858.50293;15661.7373;15133.78516;16127.04785;15875.64355;15534.58887;15741.83691;16370.48242;15665.5791;16073.63965;15511.38965;16432.30664;15716.36816;15934.03516;15716.47949;15971.66797;16465.80859;16326.5752;16533.59375;16374.02441;16157.47168;16120.81055;13940.24219;14678.30859;16197.27051;16531.3418;17534.68164
Sum44;17328.84961;14431.16309;14634.61816;12908.86328;13694.87793;13593.98438;13807.58984;14369.86133;13472.03613;14073.21387;14020.68262;14501.65723;14459.97754;13484.62109;14974.73047;14933.99707;14756.90625;14886.45801;15183.76953;15329.10449;14629.00977;14355.90039;15194.85645;14754.62988;15210.50977;15011.71875;14700.46875;15309.35938;15217.7002;14852.39551;15024.79102;16119.00977;14949.76855;15290.75781;14828.6748;15580.62695;15014.95313;15167.51465;15028.94629;15168.76074;16210.34473;15450.96191;15700.33105;15515.49512;15296.42773;15274.10156;13436.9541;14233.41211;15333.76855;16644.57617;17474.23438
Sum45;16814.73438;15168.7959;15656.77246;13376.83887;14673.53613;14497.16211;14780.95801;15362.3125;14488.01953;14675.51855;14909.04883;15385.62012;15478.32422;14451.87988;15536.0918;15476.41602;15390.41504;15540.6582;15880.70117;15972.79004;15225.85156;14910.94238;16050.69043;15481.90918;15910.57715;15707.31152;15454.46582;16257.51563;15971.50879;15805.58789;15920.79688;16412.02344;15942.09473;16245.42871;15574.625;16446.10156;15820.41992;16152.88574;15996.3418;16173.33398;16503.08984;16414.57227;16504.21484;16452.49219;16306.28027;16296.15234;14190.66309;14975.03418;16304.14453;16470.78516;17028.4043
Sum46;15537.27344;14306.38965;14356.30859;12468.51855;13337.54688;13562.09863;13546.06348;14297.45898;13154.97168;13993.00488;14042.67969;14161.3584;14173.32324;13257.09082;14327.52148;14345.11133;14314.50488;14264.69922;14506.43848;14633.45996;14169.33398;13978.42285;14559.08691;14190.32227;14564.97852;14421.44531;14174.53906;15178.78027;14532.1875;14838.57227;14406.5498;15305.30566;14345.0332;15115.31348;14213.81934;15066.96387;14372.81445;14592.21777;14446.95605;14680.17383;15356.18066;15129.38281;15289.38574;15229.99609;14636.76172;14915.80176;13003.74707;13957.2666;14635.10059;15369.22754;15636.77051
Sum47;15630.7832;14523.4248;14498.41309;13040.18457;13817.38867;13779.31348;13955.66113;14466.91699;13621.01465;14261.40918;14280.48633;14460.9541;14481.33887;13660.49023;14455.99121;14461.63379;14461.10156;14447.66113;14457.11621;14491.83984;14468.35156;14449.27637;14474.1875;14442.77441;14470.79297;14458.05664;14474.15918;14455.58887;14469.49414;14447.52051;14436.0293;14846.56836;14443.19629;14477.51074;14439.28613;14469.01074;14424.62207;14438.29297;14442.65723;14438.0918;15051.89648;14459.03223;14506.52441;14462.4043;14433.1709;14462.39453;13565.92773;14342.73145;14440.15527;15148.2627;16128.75684
Sum48;17171.63477;14370.43164;14598.17773;12937.27734;13777.5498;13697.38965;13832.42773;14345.81934;13525.50586;13884.73438;14014.53418;14336.93652;14451.69629;13521.63086;14483.96875;14532.89648;14317.02148;14773.93262;15032.61035;15193.13867;14282.7334;14135.99902;15135.12012;14639.55176;15127.22363;14949.89844;14573.15137;15221.51465;15129.93262;14808.86621;14984.45898;16191.67383;14913.03516;15196.66602;14768.67676;15474.40332;14963.41699;15071.15918;14963.625;15094.125;16473.79883;15362.01855;15849.58984;15401.39844;15209.66113;15192.36328;13441.48047;13998.78711;15245.46289;16536.30859;17376.56641
Sum49;18950.98633;15543.62598;16386.52148;13965.77051;15442.39063;15116.41211;15446.71973;15943.20117;15207.6709;15220.26855;15502.53906;16154.89063;16210.3877;15136.73438;16126.99121;16182.28125;16052.3457;16055.31445;16750.82031;16842.39648;15941.10547;15699.4209;16805.68164;16294.53809;16793.29297;16418.9668;16298.29102;16930.07227;16983.11523;16178.61523;16746.39648;17214.99023;16532.03906;16924.32031;16318.2373;17450.88086;16676.63281;16731.19531;16575.66406;16867.47461;17802.83984;17622.55859;17951.76367;17541.99219;17229.43555;17320.81836;14809.91113;15774.40527;17248.15234;17992.60352;19092.81836
Sum50;19218.03516;15561.36719;16638.14844;13975.10449;15535.23145;15180.62695;15618.18359;16194.07813;15387.3457;15380.16797;15631.72559;16384.10156;16475.34375;15364.46875;16248.7832;16290.3291;16217.68555;16253.95801;16940.29297;17063.08008;16044.11816;15853.23242;16995.18359;16513.03125;16995.33008;16620.57227;16499.32617;17169.07031;17195.69922;16322.52637;16952.77148;17509.10156;16721.9043;17121.64648;16498.26172;17772.09766;16895.58008;16956.875;16765.54297;17135.17188;17959.21875;17746.95898;18228;17645.67188;17499.42969;17420.10938;14823.8623;15907.30664;17589.42969;18330.15039;19440.80078
Sum51;16588.7207;15061.19922;15536.37598;13308.93359;14575.83105;14414.73633;14652.40625;15233.11133;14370.26855;14540.44043;14792.12305;15263.42969;15349.69336;14323.52539;15534.17871;15377.48926;15274.25293;15486.52051;15831.83301;15912.29102;15109.33203;14808.00293;16028.18066;15408.77832;15816.83789;15668.77637;15359.49121;16167.93262;15871.40527;15765.10645;15885.59766;16318.38867;15881.33398;16156.60449;15550.6709;16357.75;15801.09082;16085.20996;15948.40039;16094.00684;16391.49609;16312.02246;16441.9668;16342.00391;16198.9375;16188.62988;14129.41211;14860.96191;16212.10938;16426.42383;16835.94922
Sum52;17734.97266;15068.54492;15722.65723;13621.9082;14634.57031;14368.80762;14599.95801;15349.27051;14338.41113;14692.03906;14883.46875;15434.56055;15485.68555;14348.08105;15426.69922;15465.00781;15393.8252;15289.28223;15977.84863;16031.22754;15254.06445;14990.19727;16199.87598;15516.86621;16162.04785;15894.91797;15474.52148;16575.55859;16270.55469;15807.04004;16147.59961;16956.19727;16029.61621;16571.14063;15815.93359;16954.85742;16089.00488;16381.40625;16059.33594;16484.18164;17105.96289;16994.43945;17118.36914;17006.72266;16788.04688;16780.19336;14210.00293;15050.49219;16730.875;17082.34766;17979.24023
Sum53;16043.44531;13776.29102;13954.62598;12111.71191;13021.70605;13285.1377;13256.99512;13884.5459;12840.41602;13384.10254;13480.17871;13639.4043;13702.69238;12989.38672;13927.97363;13941.0498;13915.60547;14267.17285;14127.90332;14266.64746;13723.97949;13514.41016;14319.43359;13752.27051;14167.54492;14003.40234;13711.72363;15691.89063;14130.9209;14836.37207;13992.38281;15801.76172;13918.04688;15617.3877;13776.51367;15119.62305;13954.54102;14676.67773;14027.88672;14729.78125;15858.02246;15549.4043;15763.3584;15738.09375;14258.11719;14937.05957;12820.91016;13427.8877;14270.3623;15835.41797;16165.03906
Sum54;17711.48047;15391.05957;16173.04785;13811.4541;14955.10938;14660.5957;15052.35059;15719.9541;14698.48535;15063.1709;15321.11719;15896.19043;15936.24902;14777.32617;15825.93457;15909.83398;15836.59277;15677.9502;16378.54297;16499.72461;15665.29492;15412.66406;16468.16992;15956.48145;16447.25391;16159.94531;15926.08398;16693.06836;16580.03906;15957.18066;16402.61523;16935.43359;16242.0459;16577.16797;16064.66797;17016.21875;16343.46973;16451.99023;16285.63867;16631.78516;17184.77734;17099.82422;17246.77734;17102.2793;16942.46289;16971.50977;14447.72852;15481.40723;16863.23047;17255.29688;17864.54492
Sum55;18008.58398;14856.44629;15336.79785;13526.08691;14420.5293;14233.64746;14419.39355;14965.55078;14175.68945;14337.79688;14548.6748;15040.4082;15061.67188;14098.60352;15259.72656;15280.55176;15072.70117;15325.86328;15735.57031;15915.37695;15001.78711;14671.9873;15965.0957;15312.08594;15812.85059;15561.96191;15285.90723;16164.75293;15873.63281;15629.28223;15823.05566;16406.73438;15776.95605;16143.91797;15527.82324;16487.4668;15740.52734;16001.76074;15823.24707;16040.13184;16530.56641;16363.51465;16620.64648;16403.38281;16167.57422;16154.15527;14056.94434;14684.7793;16249.0625;16682.39453;18160.96484
Sum56;17669.25195;14811.6875;15383.46191;13396.8252;14256.83105;14143.72949;14389.16113;15064.90723;14070.13965;14411.80762;14586.10156;15124.45313;15132.59277;14125.37402;15387.19336;15303.58887;15185.43945;15665.76074;15754.13086;16130.65625;14977.68652;14751.30469;16295.30859;15452.50977;16225.19434;16009.87695;15330.86914;16469.20313;16238.15918;15953.12988;16163.75586;16732.625;16089.56348;16470.86328;15857.93066;16782.92578;16101.67676;16293.25684;16128.31152;16311.38574;16848.02734;16733.42773;16914.43555;16774.97266;16580.05469;16560.95898;13934.26074;14800.92676;16585.05859;16887.2168;17784.63672
Sum57;18557.40234;15515.64258;16281.69824;13936.78809;15406.03613;15082.84277;15364.9082;15864.16211;15122.23047;15141.78027;15461.65039;16089.61035;16105.52148;15036.8457;16152.21191;16155.54883;16006.2666;16050.66797;16758.60156;16854.18555;15908.38281;15704.38965;16750.45898;16252.05664;16742.42188;16418.24219;16208.69141;16955.44531;16962.60547;16196.08301;16726.95703;17252.60938;16506.22461;16906.61719;16339.51367;17455.82031;16656.57617;16710.44727;16560.14844;16846.20508;17757.63281;17656.78125;17861.08008;17607.21484;17336.65625;17399.47656;14796.37305;15765.57422;17301.8125;17936.99023;18726.95313
Sum58;16943.95313;14534.39746;14879.09863;13018.80078;13893.29102;13766.70801;13937.35449;14534.05371;13694.90332;13995.91992;14150.48926;14639.09375;14625.95703;13676.04297;15162.20605;15095.43066;14950.36426;15069.24805;15405.94238;15525.69141;14805.90723;14532.86719;15427.5127;14967.66895;15385.14648;15214.61914;14903.75293;15546.07031;15399.67773;15114.66309;15262.90137;16163.36133;15201.54297;15547.0127;15019.75488;15820.91797;15218.36328;15418.24609;15276.25488;15420.07813;16279.85059;15711.47754;15908.98535;15770.11719;15557.92578;15541.59766;13621.94824;14375.09863;15592.66895;16453.02539;17129.85938
Sum59;17519.42969;15217.21191;15740.87598;13554.78711;14610.68359;14369.22168;14819.47266;15459.2793;14471.49902;14851.83398;15057.21191;15483.19727;15515.02246;14525.02441;15767.45996;15620.31641;15564.90527;15718.27832;16231.8623;16293.4209;15404.69922;15188.56543;16331.57715;15724.64844;16263.4541;16009.07227;15670.96777;16608.11719;16364.62988;15924.52734;16156.49805;16874.92383;16100.51465;16489.41211;15874.2334;16890.84961;16082.37598;16385.93164;16169.88281;16422.92188;16970.76367;16892.49414;17032.3457;16906.38867;16781.96094;16771.85938;14169.80566;15189.89551;16740.67188;17030.14453;17671.60156
Sum60;15763.84277;14651.36719;14894.63281;13127.4375;14000.52832;13956.35059;14036.5625;14653.04297;13767.16309;14296.15039;14351.70703;14660.94727;14726.6748;13728.02539;14903.50977;14899.53809;14896.40625;14899.8457;14919.11816;14917.12012;14829.90039;14640.30273;14910.97754;14891.08789;14914.82422;14925.88086;14905.94434;14901.72656;14916.56055;14895.18164;14923.97852;15177.06641;14919.22363;14924.38281;14906.69824;14913.15918;14913.16211;14909.31738;14905.98633;14931.94727;15254.73145;14954.02148;15038.5332;14907.39844;14949.79785;14937.91602;13704.76172;14374.12793;14927.2002;15281.21973;15968.43457
Sum61;17104.05664;14746.81445;15199.67969;13186.10254;14279.13379;14150.51758;14289.70703;14946.17285;14058.71973;14275.92285;14472.86914;14945.59082;15025.71777;13987.17578;15450.94629;15218.69629;15054.45801;15386.92871;15679.17285;15830.91699;14939.50781;14653.16309;15835.40234;15217.05469;15717.83203;15551.13965;15117.23047;15983.15625;15731.98828;15519.44141;15630.28027;16184.84375;15594.60352;15965.24121;15349.98926;16240.7627;15558.22852;15848.60645;15666.66406;15854.22559;16268.18555;16142.29785;16327.12207;16195.74219;15993.85547;15971.54395;13931.15723;14628.7168;16031.92383;16519.31055;17220.09961
Sum62;17421.43945;14567.12207;14890.06641;13090.75195;13940.71289;13787.72461;13969.28418;14598.81738;13723.96875;14040.32129;14187.87402;14624.56836;14665.37793;13681.00879;15206.72559;15099.34473;14870.33789;15140.11426;15404.03906;15560.63477;14762.22266;14416.89355;15476.7002;14969.80273;15456.16602;15282.31543;14910.99512;15570.23535;15464.27734;15146.6084;15323.74219;16082.37988;15247.8252;15558.71875;15107.3877;15828.31152;15289.15625;15430.49512;15314.08105;15450.27344;16215.20117;15731.4502;15941.83496;15778.66016;15575.37695;15562.43164;13650.77344;14406.45117;15602.62109;16629.94141;17471.99609
Sum63;16466.33594;14483.7627;14662.9248;12793.96875;13472.29883;13638.02539;13742.75684;14526.87598;13335.14844;14185.41309;14233.67969;14443.28223;14433.29199;13393.7666;14776.54883;14760.88184;14659.18359;14692.50684;14966.84668;15122.94531;14472.99219;14239.77637;15012.89844;14572.04688;15020.6377;14830.42676;14523.08496;15251.13965;15006.17773;14717.55762;14835.83984;16036.58496;14762.58008;15095.74902;14632.81934;15319.86426;14815.81152;14956.69434;14845.31348;14936.25781;16215.0625;15206.38477;15943.46387;15634.71582;15080.5293;15112.61035;13257.02734;14204.21387;15093.68848;16224.37305;16571.40234
Sum64;17327.42188;15308.04492;15929.94531;13661.89551;14737.69434;14484.20605;14916.09863;15603.625;14575.78711;14916.98828;15093.60059;15653.55566;15707.07715;14603.58984;15632.53027;15685.50586;15607.23047;15490.96191;16156.44238;16207.3418;15431.7002;15133.83594;16269.59473;15632.88672;16165.80859;15928.35938;15577.63379;16555.62695;16315.70117;15865.65137;16224.49414;16925.50391;16117.98926;16482.53516;15863.7959;16919.58594;16140.26367;16354.85059;16145.04785;16462.76367;17044.80273;16964.39648;17103.64844;16972.55859;16816.63672;16807.19336;14285.58203;15193.01465;16756.4668;17084.52734;17583.63477
Sum65;15511.35254;14073.95313;14139.75098;12286.55273;13019.30664;13384.82617;13350.13086;14058.38086;12913.69727;13716.8125;13787.00879;13917.74805;13938.37109;13055.72168;14176.52051;14106.8418;14091.10156;14390.78516;14273.53613;14401.59961;13919.3291;13725.86133;14511.62402;13933.12793;14314.90625;14163.02539;13916.18262;14841.69434;14279.44238;14706.04004;14132.79688;14940.80957;14060.2168;14871.87598;13934.2793;14825.9502;14107.40527;14725.53418;14159.12793;14750.84375;15103.62598;14850.91797;14986.91699;14959.58203;14424.125;14762.93457;12793.90234;13697.61523;14360.76563;15074.86426;15695.85938
Sum66;19004.70898;15447.52051;16160.64844;13965.51172;15300.88672;15000.77539;15270.18359;15752.73242;15025.08105;15056.60645;15354.24121;15916.3623;15979.78418;14923.19043;15878.46387;15946.94336;15808.66992;15727.41895;16448.78906;16530.28125;15687.26855;15372.35742;16444.47852;15936.88672;16416.875;16079.98926;15923.49609;16605.89453;16598.17188;15930.46484;16371.35156;16840.47852;16177.43652;16570.49023;15984.86816;17069.46484;16356.5459;16371.27441;16214.1709;16533.90625;17586.21875;17410.24609;17757.1875;17356.74414;17058.71289;17108.97266;14759.32129;15459.64258;16925.14648;17721.88281;19244.33789
